id;photo;photo_content_type;phone;premium;birth_date;add_date
1;../fake-data/blob/hipster.png;image/png;735-497-3310;false;2022-01-20;2022-01-21
2;../fake-data/blob/hipster.png;image/png;1-555-408-2298 x3208;false;2022-01-21;2022-01-21
3;../fake-data/blob/hipster.png;image/png;908.329.5221;false;2022-01-21;2022-01-20
4;../fake-data/blob/hipster.png;image/png;369.314.4658;true;2022-01-20;2022-01-20
5;../fake-data/blob/hipster.png;image/png;(561) 506-3332;false;2022-01-21;2022-01-20
6;../fake-data/blob/hipster.png;image/png;1-717-359-8477 x445;false;2022-01-21;2022-01-21
7;../fake-data/blob/hipster.png;image/png;420-967-8875 x083;true;2022-01-21;2022-01-20
8;../fake-data/blob/hipster.png;image/png;298.385.6065;true;2022-01-21;2022-01-21
9;../fake-data/blob/hipster.png;image/png;525.610.3191 x1540;true;2022-01-20;2022-01-20
10;../fake-data/blob/hipster.png;image/png;(238) 735-1841;true;2022-01-21;2022-01-21
